S. No.,LR No.,LR Date  ,Vehicle Size,Bill To,From Location,To Location,Revenue,TML Invoice No-,TML Invoice Date,Transporter Name,Transport Charges
1,20807,2022-01-31,32 FT,V-Guard Noida,Noida,Farrukhnagar,14977.0,15,2022-04-21 00:00:00,Gayatri Logistics,11000.0
2,20809,2022-03-12,32 FT,V-Guard Noida,Noida,Farrukhnagar,14977.0,27,2022-05-06 00:00:00,Safeway logistics,11000.0
3,24477,2022-03-30,20FT Flat Bad,Honeywell Automation (I) Ltd.,UTTAM NAGAR,BHIWANDI,57200.0,10,2022-04-19 00:00:00,Prabhu Logistics Pvt. Ltd.,48000.0
4,20811,2022-03-26,32 FT,V-Guard Noida,Noida,Farrukhnagar,14977.0,9,2022-04-19 00:00:00,Delhi Jaipur Tpt.,11000.0
5,24478,2022-04-01,22 FT,Grofers India Pvt.,Mahavir Enclave,Sonipat,54500.0,2,2022-04-06 00:00:00,Shankar Yadav Transport,26040.0
6,24479,2022-04-01,22 FT,Grofers India Pvt.,Mahavir Enclave,Sonipat,54500.0,2,2022-04-06 00:00:00,Shankar Yadav Transport,
7,24480,2022-04-03,22 FT,Grofers India Pvt.,Meera Bagh,Sonipat,54500.0,1,2022-04-06 00:00:00,Shankar Yadav Transport,26040.0
8,24481,2022-04-03,22 FT,Grofers India Pvt.,Meera Bagh,Sonipat,54500.0,1,2022-04-06 00:00:00,Shankar Yadav Transport,
9,22520,2022-04-04,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
10,22521,2022-04-04,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
11,21647,2022-04-05,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,42,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
12,21649,2022-04-07,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
13,22522,2022-04-07,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
14,24007,2022-04-08,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
15,22523,2022-04-08,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,48,2022-05-14 00:00:00,NEW HARYANA GOLDEN,12000.0
16,24008,2022-04-09,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
17,24009,2022-04-09,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
18,24215,2022-04-11,M. Pick up,Emphasis Electricals,Selaqui,PalamVihar,11000.0,3,2022-04-12 00:00:00,VISHAL LOGISTICS,8200.0
19,24485,2022-04-04,19/20FT,ELEXION Pvt. Ltd.,Bilaspur,Babgalore,75500.0,4,2022-04-14 00:00:00,GULSHAN TRANSPORT,65000.0
20,23308,2022-04-15,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,7,2022-04-19 00:00:00,Delhi Jaipur Tpt.,11500.0
21,24416,2022-04-02,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
22,24417,2022-04-02,Tata Ace,Ariston_Rithala,Rithala,Faridabad,3100.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,2100.0
23,24418,2022-04-02,17FT,Ariston_Rithala,Rithala,Uttam Nagar,4300.0,"0005, 0006",2022-04-18 00:00:00,Jai kedar Express,2800.0
24,24419,2022-04-02,Champion,Ariston_Rithala,Rithala,Farrukh Nagar,3780.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,2500.0
25,24420,2022-04-02,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0011, 0012",2022-04-21 00:00:00,Jai Shree Durga,3500.0
26,24421,2022-04-04,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0071, 0072",2022-05-25 00:00:00,Jai kedar Express,3500.0
27,24422,2022-04-05,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
28,24423,2022-04-05,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0011, 0012",2022-04-21 00:00:00,Jai Shree Durga,3500.0
29,24424,2022-04-05,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0011, 0012",2022-04-21 00:00:00,Jai Shree Durga,3500.0
30,24425,2022-04-05,Tata Ace,Ariston_Rithala,Rithala,Mandoli,1475.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
31,24426,2022-04-05,19/20FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0029, 0030",2022-05-07 00:00:00,Vijay logistics,9300.0
32,24427,2022-04-06,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
33,24428,2022-04-06,Tata 407,Ariston_Rithala,Rithala,Gurgaon,4250.0,"0005, 0006",2022-04-18 00:00:00,Mainpal Tempo,3000.0
34,24429,2022-04-06,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
35,24430,2022-04-06,Champion,Ariston_Rithala,Rithala,"G, Noida",3600.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,2300.0
36,24431,2022-04-06,Tata 407,Ariston_Rithala,Rithala,Haldwani,13500.0,"0029, 0030",2022-05-07 00:00:00,Vijay logistics,1000.0
37,24432,2022-04-06,Tata 407,Ariston_Rithala,Rithala,Haldwani,0.0,"0029, 0030",2022-05-07 00:00:00,Vijay logistics,9000.0
38,24433,2022-04-06,24FT,Ariston_Rithala,Rithala,Ambala,13000.0,"0029, 0030",2022-05-07 00:00:00,Vijay logistics,10400.0
39,24434,2022-04-06,Tata 407,Ariston_Rithala,Rithala,Ambala,8500.0,"0029, 0030",2022-04-21 00:00:00,Jai Shree Durga,6500.0
40,24435,2022-04-07,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
41,24436,2022-04-07,19/20FT,Ariston_Rithala,Rithala,Sri Nagar,55000.0,"0023, 0024",2022-04-29 00:00:00,GULSHAN TRANSPORT,51000.0
42,24437,2022-04-07,Tata 407,Ariston_Rithala,Rithala,Gurgaon,4250.0,"0011, 0012",2022-04-21 00:00:00,Jai Shree Durga,3000.0
43,24438,2022-04-07,Tata Ace,Ariston_Rithala,Rithala,Ashok vihar,1475.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
44,21440,2022-04-07,Tata Ace,Ariston_Rithala,Ashok vihar,Rithala,738.0,85,2022-05-28 00:00:00,(Shyam Kant Jha) Rama Tpt.,600.0
45,24439,2022-04-07,17FT,Ariston_Rithala,Rithala,Amritsar,19800.0,"0011, 0012",2022-04-21 00:00:00,Jai kedar Express,15000.0
46,24440,2022-04-07,17FT,Ariston_Rithala,Rithala,Jalandhar,1700.0,"0011, 0012",2022-04-21 00:00:00,Jai kedar Express,1000.0
47,24441,2022-04-08,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
48,24442,2022-04-08,Champion,Ariston_Rithala,Rithala,Chittanjan Park,1350.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
49,24443,2022-04-08,14 FT,Ariston_Rithala,Rithala,Ambala,9250.0,"0011, 0012",2022-04-21 00:00:00,Mainpal Tempo,7000.0
50,24444,2022-04-09,32 FT,Ariston_Rithala,Rithala,Rishikesh,23500.0,"0071, 0072",2022-05-25 00:00:00,Alpha logistics,21000.0
51,24445,2022-04-12,Champion,Ariston_Rithala,Rithala,Noida,3000.0,"0023, 0024",2022-04-29 00:00:00,Sant Kumar,2100.0
52,21441,2022-04-12,Champion,Ariston_Rithala,Noida,Rithala,1500.0,85,2022-05-28 00:00:00,Sant Kumar,1050.0
53,24446,2022-04-12,Champion,Ariston_Rithala,Rithala,chhatarpur,1350.0,"0011, 0012",2022-04-21 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
54,24447,2022-04-12,M. Pick up,Ariston_Rithala,Rithala,Hauz khas,2300.0,"0023, 0024",2022-04-29 00:00:00,Jai Shree Durga,1500.0
55,24501,2022-04-13,Champion,Ariston_Rithala,Rithala,chhatarpur,1350.0,"0011, 0012",2022-04-21 00:00:00,Sant Kumar,1100.0
56,24502,2022-04-13,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0011, 0012",2022-04-21 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
